GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1acc357d-6f1e-4f1f-a752-777196037a59	1	3301765	9200841	3621	-0.405
1acc357d-6f1e-4f1f-a752-777196037a59	1	9201508	9357887	44	0.3023
1acc357d-6f1e-4f1f-a752-777196037a59	1	9358577	16387008	3547	-0.4176
1acc357d-6f1e-4f1f-a752-777196037a59	1	16389879	16471261	45	0.3266
1acc357d-6f1e-4f1f-a752-777196037a59	1	16999460	21875756	3081	-0.4109
1acc357d-6f1e-4f1f-a752-777196037a59	1	21882371	22127166	76	0.4255
1acc357d-6f1e-4f1f-a752-777196037a59	1	22146835	22906237	503	-0.4047
1acc357d-6f1e-4f1f-a752-777196037a59	1	22907704	23089581	92	0.3463
1acc357d-6f1e-4f1f-a752-777196037a59	1	23094362	23123142	17	-0.4067
1acc357d-6f1e-4f1f-a752-777196037a59	1	23126110	23606067	279	0.3225
1acc357d-6f1e-4f1f-a752-777196037a59	1	23608442	32538854	4143	-0.4277
1acc357d-6f1e-4f1f-a752-777196037a59	1	32542882	33009862	172	0.0099
1acc357d-6f1e-4f1f-a752-777196037a59	1	33010691	44214794	6257	-0.4141
1acc357d-6f1e-4f1f-a752-777196037a59	1	44215441	44511834	175	-0.0038
1acc357d-6f1e-4f1f-a752-777196037a59	1	44512647	65220315	12810	-0.4253
1acc357d-6f1e-4f1f-a752-777196037a59	1	65220811	118016835	31340	-0.4626
1acc357d-6f1e-4f1f-a752-777196037a59	1	118017424	119979137	1140	-0.4324
1acc357d-6f1e-4f1f-a752-777196037a59	1	119979978	151735743	687	-0.0117
1acc357d-6f1e-4f1f-a752-777196037a59	1	151741636	152183308	250	0.3349
1acc357d-6f1e-4f1f-a752-777196037a59	1	152185315	162716441	6019	0.0248
1acc357d-6f1e-4f1f-a752-777196037a59	1	162719805	163467957	628	0.8795
1acc357d-6f1e-4f1f-a752-777196037a59	1	163470224	167051804	2698	0.045
1acc357d-6f1e-4f1f-a752-777196037a59	1	167051953	167055371	5	-1.5892
1acc357d-6f1e-4f1f-a752-777196037a59	1	167059022	184640686	11278	0.0242
1acc357d-6f1e-4f1f-a752-777196037a59	1	184646248	200676685	9318	-0.0196
1acc357d-6f1e-4f1f-a752-777196037a59	1	200676791	201014120	146	0.0316
1acc357d-6f1e-4f1f-a752-777196037a59	1	201014894	201101654	87	0.4178
1acc357d-6f1e-4f1f-a752-777196037a59	1	201102756	205122522	2725	0.0441
1acc357d-6f1e-4f1f-a752-777196037a59	1	205122602	205718745	369	0.3635
1acc357d-6f1e-4f1f-a752-777196037a59	1	205719162	247650984	26841	0.0244
1acc357d-6f1e-4f1f-a752-777196037a59	2	480597	27782701	16800	-0.4795
1acc357d-6f1e-4f1f-a752-777196037a59	2	27784960	28058239	124	-0.1094
1acc357d-6f1e-4f1f-a752-777196037a59	2	28066256	35106731	3940	-0.4695
1acc357d-6f1e-4f1f-a752-777196037a59	2	35119874	35253248	76	-0.9913
1acc357d-6f1e-4f1f-a752-777196037a59	2	35258018	37357500	1195	-0.486
1acc357d-6f1e-4f1f-a752-777196037a59	2	38045199	38635081	438	0.2778
1acc357d-6f1e-4f1f-a752-777196037a59	2	38646657	59589979	12109	-0.4976
1acc357d-6f1e-4f1f-a752-777196037a59	2	59591512	59807802	163	1.3108
1acc357d-6f1e-4f1f-a752-777196037a59	2	59809173	60212800	311	1.5729
1acc357d-6f1e-4f1f-a752-777196037a59	2	60213064	60618168	260	1.2917
1acc357d-6f1e-4f1f-a752-777196037a59	2	60618425	60725180	56	0.9442
1acc357d-6f1e-4f1f-a752-777196037a59	2	60734447	61429713	324	1.3509
1acc357d-6f1e-4f1f-a752-777196037a59	2	61432269	61735767	145	0.9711
1acc357d-6f1e-4f1f-a752-777196037a59	2	61743112	63381589	772	-0.4392
1acc357d-6f1e-4f1f-a752-777196037a59	2	63385431	65652282	1199	0.9593
1acc357d-6f1e-4f1f-a752-777196037a59	2	65653417	65923711	267	1.3251
1acc357d-6f1e-4f1f-a752-777196037a59	2	65931010	66585206	447	-0.4648
1acc357d-6f1e-4f1f-a752-777196037a59	2	66587105	68142711	1102	0.9979
1acc357d-6f1e-4f1f-a752-777196037a59	2	68149121	68236480	48	-0.6381
1acc357d-6f1e-4f1f-a752-777196037a59	2	68237139	68268518	18	0.7356
1acc357d-6f1e-4f1f-a752-777196037a59	2	68269040	68830198	255	0.9863
1acc357d-6f1e-4f1f-a752-777196037a59	2	68831467	78756922	5580	0.5514
1acc357d-6f1e-4f1f-a752-777196037a59	2	79470645	88831554	4570	-0.4743
1acc357d-6f1e-4f1f-a752-777196037a59	2	94675825	111215173	8242	-0.0386
1acc357d-6f1e-4f1f-a752-777196037a59	2	111639145	135363745	11829	0.5757
1acc357d-6f1e-4f1f-a752-777196037a59	2	135370296	141441852	3225	0.5407
1acc357d-6f1e-4f1f-a752-777196037a59	2	141441892	141529053	83	-0.0205
1acc357d-6f1e-4f1f-a752-777196037a59	2	141532530	215392624	41463	0.5342
1acc357d-6f1e-4f1f-a752-777196037a59	2	215392974	218225642	1944	0.6005
1acc357d-6f1e-4f1f-a752-777196037a59	2	218225870	233666581	9086	0.5502
1acc357d-6f1e-4f1f-a752-777196037a59	2	233670076	241537572	4912	0.6016
1acc357d-6f1e-4f1f-a752-777196037a59	3	2170634	3488949	757	-0.0737
1acc357d-6f1e-4f1f-a752-777196037a59	3	3490061	3511303	17	-0.7808
1acc357d-6f1e-4f1f-a752-777196037a59	3	3511443	9794129	3615	-0.0468
1acc357d-6f1e-4f1f-a752-777196037a59	3	9796602	9866945	29	0.5481
