GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	3301765	7717786	2862	-0.1814
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	7718300	14326287	3190	-0.233
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	14328841	17372842	1544	-0.2004
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	17372968	18890631	1123	-0.1444
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	18895348	22316851	1943	-0.2108
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	22318364	22322994	3	-1.6067
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	22338281	29299899	3125	-0.2478
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	29301209	30904896	1111	-0.1655
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	30912340	54922807	12708	-0.2271
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	54923896	55022696	78	0.1315
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	55025942	58449308	2766	-0.2342
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	58449352	69334402	7539	-0.2641
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	69336771	69553834	124	-0.2003
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	69561119	69746766	123	-1.5554
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	69749346	84279890	8336	-0.2795
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	84279920	84280020	2	-1.9683
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	84283041	93849499	5881	-0.2803
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	93852127	96026933	1505	0.0767
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	96028942	107379245	6357	0.0475
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	107380279	150057713	7834	0.0804
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	150057994	150058787	2	-1.6965
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	150061347	152888628	1242	0.051
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	152894712	153035713	117	0.3995
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	153041606	160183087	3985	0.0608
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	160183167	161970464	961	-0.0029
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	161972701	166731394	3771	0.0664
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	166731776	169790550	2273	0.0254
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	169791205	169793812	2	-1.1946
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	169795911	173995068	2714	0.0178
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	173995146	174778232	314	-0.1394
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	174786459	175033554	136	0.1239
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	175044029	180165937	3057	-0.1181
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	180167369	182917948	1865	0.4389
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	182920109	189173963	3969	-0.1404
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	189177925	189190942	13	0.4344
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	189193276	191270179	1070	-0.1414
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	191273195	191330353	32	0.2409
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	191330381	191856724	319	0.3888
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	191902086	193808930	1298	0.6072
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	193809717	197509123	1926	-0.1612
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	197516493	197867511	193	0.3671
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	197867948	198939447	677	0.6091
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	198942559	200598273	1062	-0.1681
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	200598468	218188467	11821	-0.109
b8e37eaf-3103-4ff1-880b-fdd0923c2537	1	218188740	218328224	86	-0.1925
