GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4d4289e3-09ce-432e-b412-afaba4cd1b94	1	3301765	14908398	6492	-0.2871
4d4289e3-09ce-432e-b412-afaba4cd1b94	1	14911366	14911559	2	-2.3533
4d4289e3-09ce-432e-b412-afaba4cd1b94	1	14912258	29319615	7272	-0.2826
4d4289e3-09ce-432e-b412-afaba4cd1b94	1	29326163	236901930	108703	-0.2645
4d4289e3-09ce-432e-b412-afaba4cd1b94	1	236901983	247650984	6744	-0.2939
4d4289e3-09ce-432e-b412-afaba4cd1b94	2	480597	25887274	16115	-0.2424
4d4289e3-09ce-432e-b412-afaba4cd1b94	2	25889184	25928337	10	-0.9988
4d4289e3-09ce-432e-b412-afaba4cd1b94	2	25928774	26601378	342	-0.2422
4d4289e3-09ce-432e-b412-afaba4cd1b94	2	26614451	26696221	50	-3.1095
4d4289e3-09ce-432e-b412-afaba4cd1b94	2	26703823	241537572	115122	-0.2415
4d4289e3-09ce-432e-b412-afaba4cd1b94	3	2170634	72636939	41975	-0.2596
4d4289e3-09ce-432e-b412-afaba4cd1b94	3	72637880	97616061	10869	-0.2826
4d4289e3-09ce-432e-b412-afaba4cd1b94	3	97620805	197812401	53923	-0.2584
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	1059384	7164486	3339	0.5498
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	7164773	7786617	484	0.6286
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	7786783	17291861	6211	0.5413
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	17291956	73975327	30347	0.5247
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	73975847	98661839	14303	0.5396
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	98662488	98662631	2	-1.6931
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	98662692	170365943	39600	0.5394
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	170366099	170600083	116	0.3414
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	170600309	181157743	5513	0.5408
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	181158385	181480154	266	0.2024
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	181484582	181544497	56	0.5441
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	181545350	181695804	92	0.1491
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	181708228	181803463	113	0.4967
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	181806329	181830114	16	0.1181
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	181831386	182456657	509	-0.2917
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	182456771	182574717	79	0.2708
4d4289e3-09ce-432e-b412-afaba4cd1b94	4	182576610	187842528	2100	0.5343
4d4289e3-09ce-432e-b412-afaba4cd1b94	5	913983	16553731	10304	0.537
4d4289e3-09ce-432e-b412-afaba4cd1b94	5	16555962	32659246	8769	0.5084
4d4289e3-09ce-432e-b412-afaba4cd1b94	5	32662583	180934240	81674	0.5468
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	1011760	36229927	20933	-0.2756
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	36234784	36242005	11	0.5193
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	36244679	101540944	34992	-0.2845
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	101541591	101541607	2	-2.1795
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	101547591	148180808	27609	-0.272
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	148185476	148185808	2	-2.2131
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	148186119	151054485	1955	-0.2787
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	151054982	151055449	3	-1.7536
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	151063279	165983119	9601	-0.2859
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	165985722	165990503	2	1.4788
4d4289e3-09ce-432e-b412-afaba4cd1b94	6	165990847	170596889	1666	-0.2641
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	664936	15681164	7483	0.1904
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	15684128	38693006	14603	0.213
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	38693473	41446021	1670	0.1773
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	41446112	41450530	2	-1.5145
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	41452164	65018396	10182	0.1967
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	65025285	69583242	1892	0.0986
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	69583351	70816475	729	0.2047
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	70820989	75795224	1651	0.1136
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	75797646	97430555	11394	0.1952
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	97432619	102778267	1997	0.1479
4d4289e3-09ce-432e-b412-afaba4cd1b94	7	102788393	158592540	30072	0.2005
4d4289e3-09ce-432e-b412-afaba4cd1b94	8	667625	30076520	17678	0.1847
4d4289e3-09ce-432e-b412-afaba4cd1b94	8	30080742	56426800	12585	0.166
4d4289e3-09ce-432e-b412-afaba4cd1b94	8	56426841	61736535	3450	0.2219
4d4289e3-09ce-432e-b412-afaba4cd1b94	8	61736725	139302777	46718	0.1897
4d4289e3-09ce-432e-b412-afaba4cd1b94	8	139306124	140423488	854	0.2261
4d4289e3-09ce-432e-b412-afaba4cd1b94	8	140431858	140455883	17	-0.1754
4d4289e3-09ce-432e-b412-afaba4cd1b94	8	140456476	144182542	647	0.2101
4d4289e3-09ce-432e-b412-afaba4cd1b94	9	789794	4041629	2289	0.2203
4d4289e3-09ce-432e-b412-afaba4cd1b94	9	4041868	89627147	35945	0.1889
4d4289e3-09ce-432e-b412-afaba4cd1b94	9	89628238	101815928	7651	0.2164
4d4289e3-09ce-432e-b412-afaba4cd1b94	9	101822210	107896001	3722	0.1682
4d4289e3-09ce-432e-b412-afaba4cd1b94	9	107898311	127466657	13473	0.2021
4d4289e3-09ce-432e-b412-afaba4cd1b94	9	127468476	131397208	2028	0.1765
4d4289e3-09ce-432e-b412-afaba4cd1b94	9	131399997	138044505	3145	0.2281
4d4289e3-09ce-432e-b412-afaba4cd1b94	10	366509	11616134	8007	-0.2538
4d4289e3-09ce-432e-b412-afaba4cd1b94	10	11616595	37643845	17697	-0.2893
4d4289e3-09ce-432e-b412-afaba4cd1b94	10	37643863	133411599	55272	-0.2627
4d4289e3-09ce-432e-b412-afaba4cd1b94	11	456012	29322235	18470	-0.2755
4d4289e3-09ce-432e-b412-afaba4cd1b94	11	29323522	29329331	2	-2.3992
4d4289e3-09ce-432e-b412-afaba4cd1b94	11	29329648	60123201	14218	-0.287
4d4289e3-09ce-432e-b412-afaba4cd1b94	11	60123615	60123896	2	-2.1719
4d4289e3-09ce-432e-b412-afaba4cd1b94	11	60126133	94517309	18053	-0.2749
4d4289e3-09ce-432e-b412-afaba4cd1b94	11	94517468	96252996	1315	-0.2168
4d4289e3-09ce-432e-b412-afaba4cd1b94	11	96253595	134272740	25188	-0.2731
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	780472	58828282	30460	0.5342
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	58828295	58828425	2	-1.4111
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	58828428	94845815	21913	0.5359
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	94847006	95717340	602	0.4468
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	95718008	111610821	9883	0.5301
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	111613147	112576658	459	0.4348
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	112577848	123825985	6521	0.5158
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	123831544	124791998	622	0.5989
4d4289e3-09ce-432e-b412-afaba4cd1b94	12	124794574	132605822	3635	0.5222
4d4289e3-09ce-432e-b412-afaba4cd1b94	13	18874255	38845781	12442	-1.0137
4d4289e3-09ce-432e-b412-afaba4cd1b94	13	38845827	89296766	27873	-0.9693
4d4289e3-09ce-432e-b412-afaba4cd1b94	13	89297562	99755201	6657	-1.0103
4d4289e3-09ce-432e-b412-afaba4cd1b94	13	99756082	99760701	5	-3.8419
4d4289e3-09ce-432e-b412-afaba4cd1b94	13	99761044	110579486	7753	-1.0131
4d4289e3-09ce-432e-b412-afaba4cd1b94	13	110581726	110584086	2	-5.3865
4d4289e3-09ce-432e-b412-afaba4cd1b94	13	110584419	114226675	1704	-1.0253
4d4289e3-09ce-432e-b412-afaba4cd1b94	14	20033191	105533894	49538	-0.2784
4d4289e3-09ce-432e-b412-afaba4cd1b94	15	23437561	101344124	44600	-0.2621
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	603333	4120522	1201	0.552
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	4123565	4157119	23	0.1996
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	4158246	4932012	366	0.5412
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	4932127	47574761	12804	0.5037
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	47576413	72364271	15199	0.5244
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	72369388	72460394	47	-0.1705
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	72462782	74513093	1257	0.5231
4d4289e3-09ce-432e-b412-afaba4cd1b94	16	74514462	74514744	2	1.8566
