GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
726707fb-2431-4598-a72d-57bb4467eb0c	1	3301765	4674016	925	-1.0907
726707fb-2431-4598-a72d-57bb4467eb0c	1	4674454	4674996	2	-7.1923
726707fb-2431-4598-a72d-57bb4467eb0c	1	4675848	5707745	756	-1.0455
726707fb-2431-4598-a72d-57bb4467eb0c	1	5710205	5718729	10	-2.4741
726707fb-2431-4598-a72d-57bb4467eb0c	1	5722109	9255788	1910	-1.0171
726707fb-2431-4598-a72d-57bb4467eb0c	1	9344634	66622920	32481	-0.2082
726707fb-2431-4598-a72d-57bb4467eb0c	1	66624081	109528192	25197	-0.2385
726707fb-2431-4598-a72d-57bb4467eb0c	1	109528491	111366934	1179	-0.1814
726707fb-2431-4598-a72d-57bb4467eb0c	1	111370901	111554478	120	0.2741
726707fb-2431-4598-a72d-57bb4467eb0c	1	111558843	247650984	66768	-0.2292
726707fb-2431-4598-a72d-57bb4467eb0c	2	480597	226832257	123252	-0.2265
726707fb-2431-4598-a72d-57bb4467eb0c	2	226837076	226869650	22	-1.0761
726707fb-2431-4598-a72d-57bb4467eb0c	2	226873004	229666501	1803	-0.2437
726707fb-2431-4598-a72d-57bb4467eb0c	2	229667181	229673345	4	-1.7262
726707fb-2431-4598-a72d-57bb4467eb0c	2	229673384	238166295	4961	-0.2103
726707fb-2431-4598-a72d-57bb4467eb0c	2	238167294	239799100	836	-1.0163
726707fb-2431-4598-a72d-57bb4467eb0c	2	239799690	239801005	5	-4.449
726707fb-2431-4598-a72d-57bb4467eb0c	2	239801126	239937361	80	-0.9453
726707fb-2431-4598-a72d-57bb4467eb0c	2	239937664	239939023	6	-3.6963
726707fb-2431-4598-a72d-57bb4467eb0c	2	239945633	241537572	842	-1.0075
726707fb-2431-4598-a72d-57bb4467eb0c	3	2170634	27949784	15136	-0.2482
726707fb-2431-4598-a72d-57bb4467eb0c	3	27955431	27957290	3	-2.7055
726707fb-2431-4598-a72d-57bb4467eb0c	3	27958607	73746927	27651	-0.2501
726707fb-2431-4598-a72d-57bb4467eb0c	3	73750376	98216281	10454	-0.277
726707fb-2431-4598-a72d-57bb4467eb0c	3	98216869	162524753	35768	-0.2368
726707fb-2431-4598-a72d-57bb4467eb0c	3	162524890	162539099	14	-0.4106
726707fb-2431-4598-a72d-57bb4467eb0c	3	162542687	162542960	2	-2.0523
726707fb-2431-4598-a72d-57bb4467eb0c	3	162543233	167242007	1872	-0.2982
726707fb-2431-4598-a72d-57bb4467eb0c	3	167242490	197812401	15975	-0.247
726707fb-2431-4598-a72d-57bb4467eb0c	4	1059384	10904098	5271	0.8942
726707fb-2431-4598-a72d-57bb4467eb0c	4	10904485	47017362	22468	0.844
726707fb-2431-4598-a72d-57bb4467eb0c	4	47018841	51832470	612	0.8864
726707fb-2431-4598-a72d-57bb4467eb0c	4	51832591	148639366	54024	0.2174
726707fb-2431-4598-a72d-57bb4467eb0c	4	148640207	148755052	74	-0.2426
726707fb-2431-4598-a72d-57bb4467eb0c	4	148756833	151580139	1308	0.1965
726707fb-2431-4598-a72d-57bb4467eb0c	4	151580360	157975623	3922	0.2444
726707fb-2431-4598-a72d-57bb4467eb0c	4	157975707	180256333	12173	0.2062
726707fb-2431-4598-a72d-57bb4467eb0c	4	180259328	180318981	50	0.8132
726707fb-2431-4598-a72d-57bb4467eb0c	4	180324116	181530477	557	0.1922
726707fb-2431-4598-a72d-57bb4467eb0c	4	181531009	181695804	106	-0.3397
726707fb-2431-4598-a72d-57bb4467eb0c	4	181708228	181759641	75	0.1549
726707fb-2431-4598-a72d-57bb4467eb0c	4	181763161	181984510	175	-0.3031
726707fb-2431-4598-a72d-57bb4467eb0c	4	181989966	182210092	176	0.2223
726707fb-2431-4598-a72d-57bb4467eb0c	4	182216063	182354706	136	-1.1078
726707fb-2431-4598-a72d-57bb4467eb0c	4	182364858	186051130	1226	0.2475
726707fb-2431-4598-a72d-57bb4467eb0c	4	186051188	186054982	2	-0.9981
726707fb-2431-4598-a72d-57bb4467eb0c	4	186058545	187842528	1034	0.2196
726707fb-2431-4598-a72d-57bb4467eb0c	5	913983	2402860	548	0.9253
726707fb-2431-4598-a72d-57bb4467eb0c	5	2403632	2404845	2	-0.5147
726707fb-2431-4598-a72d-57bb4467eb0c	5	2407728	5570879	2679	0.8763
726707fb-2431-4598-a72d-57bb4467eb0c	5	5571490	5615269	50	0.5913
726707fb-2431-4598-a72d-57bb4467eb0c	5	5618763	9160372	2712	0.8689
726707fb-2431-4598-a72d-57bb4467eb0c	5	9163143	9205588	64	0.586
726707fb-2431-4598-a72d-57bb4467eb0c	5	9213916	15331291	3899	0.8657
726707fb-2431-4598-a72d-57bb4467eb0c	5	15332460	15332597	6	0.0373
726707fb-2431-4598-a72d-57bb4467eb0c	5	15332903	18839563	1609	0.83
726707fb-2431-4598-a72d-57bb4467eb0c	5	18839715	19609729	372	0.5789
726707fb-2431-4598-a72d-57bb4467eb0c	5	19609823	20081895	249	0.8296
726707fb-2431-4598-a72d-57bb4467eb0c	5	20088019	20088589	3	-0.7468
726707fb-2431-4598-a72d-57bb4467eb0c	5	20094117	23016566	1304	0.8132
726707fb-2431-4598-a72d-57bb4467eb0c	5	23017277	24438358	837	0.5496
726707fb-2431-4598-a72d-57bb4467eb0c	5	24451776	26865192	1287	0.8174
726707fb-2431-4598-a72d-57bb4467eb0c	5	26865547	29670460	1452	0.5733
726707fb-2431-4598-a72d-57bb4467eb0c	5	29672231	30292322	385	0.8048
726707fb-2431-4598-a72d-57bb4467eb0c	5	30292431	39427122	5503	0.5993
726707fb-2431-4598-a72d-57bb4467eb0c	5	39428444	39430709	2	1.9596
726707fb-2431-4598-a72d-57bb4467eb0c	5	39430876	45190751	3085	0.5853
726707fb-2431-4598-a72d-57bb4467eb0c	5	45203665	50840797	69	0.4776
726707fb-2431-4598-a72d-57bb4467eb0c	5	50843301	76340308	14313	0.2455
726707fb-2431-4598-a72d-57bb4467eb0c	5	76340370	76431909	75	0.6579
726707fb-2431-4598-a72d-57bb4467eb0c	5	76434947	180934240	60515	0.2388
726707fb-2431-4598-a72d-57bb4467eb0c	6	1011760	38921281	22772	-0.2482
726707fb-2431-4598-a72d-57bb4467eb0c	6	38922634	38924224	3	-2.4237
