GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	3301765	19870868	9322	-0.5267
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	19871160	32474851	6218	-0.1585
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	32475013	33158807	278	-0.5012
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	33159523	49255551	8971	-0.1607
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	49256621	49388895	61	-0.465
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	49392627	54831802	2647	-0.1779
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	54833332	85574424	19940	-0.2142
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	85581628	85583732	2	-2.0699
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	85584140	107907171	13251	-0.2113
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	107910761	119975323	7333	-0.1871
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	119975336	150148513	111	0.0176
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	150154910	162407526	6700	0.1078
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	162408139	200004048	23812	0.0641
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	200004577	203816820	2501	0.097
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	203817337	203820337	2	-1.4728
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	203822597	208496712	3054	0.1066
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	208497408	241894238	22534	0.0704
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	241896967	241899543	2	-1.7916
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	241900150	247637075	2851	0.0815
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	1	247642766	247650984	7	-0.2485
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	480597	7354479	4225	-0.1795
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	7356284	7359786	5	-1.334
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	7360206	17578440	6820	-0.1798
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	17583727	17587588	2	-2.1465
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	17587889	137380703	61206	-0.1855
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	137380792	148049389	5673	-0.2092
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	148052510	148322640	123	-0.5437
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	148329050	230372317	47498	-0.2036
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	2	230372858	241537572	6546	-0.1643
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	2170634	9842231	4476	0.0833
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	9847274	9951748	43	-0.1981
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	9953167	14623052	3094	0.1115
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	14628648	14675220	46	-0.6154
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	14678918	41661876	16228	0.0649
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	41667325	53888230	5833	0.1034
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	53889551	74964906	13997	0.0732
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	74965530	107604422	14895	0.0424
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	107605581	116415810	5040	0.0605
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	116416150	116750660	229	-0.2479
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	116751888	117485595	601	0.0295
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	117486484	117963980	337	-0.6275
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	117967711	129646649	6551	0.0779
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	129647593	182499151	27719	0.0527
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	3	182499759	197812401	8016	0.0821
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	1059384	10280200	4812	0.3579
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	10281341	94842468	47826	0.2888
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	94842721	94848216	2	-1.3558
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	94849692	114783593	11445	0.2853
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	114785027	118177073	1889	0.2405
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	118180568	128246172	5489	0.2793
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	128247783	128769436	302	0.0411
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	128772108	172778509	24025	0.2798
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	172778625	172778714	2	-1.2085
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	172778898	175066208	1313	0.2864
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	175066445	175150354	36	-0.041
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	175150799	180604429	3044	0.2761
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	181157671	181348398	160	-0.6937
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	181349921	181561820	183	0.0734
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	181565884	181641160	15	-0.2817
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	181648199	181652516	8	-0.7063
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	181652596	181695804	51	-0.259
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	181708228	182053921	303	-0.6525
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	182054111	182501713	365	-0.2301
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	182501716	182614883	75	0.0548
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	4	183286625	187842528	2084	0.3178
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	913983	1315228	68	0.3409
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	1321758	1375932	29	-0.1837
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	1376248	8235464	5177	0.3336
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	8237049	31042439	12639	0.2888
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	31045577	39442120	5063	0.315
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	39445425	39447130	3	-0.8292
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	39451120	62449627	10349	0.3042
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	62450208	62450315	4	-0.6627
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	62453098	82768029	10844	0.316
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	82768221	90991674	4313	0.2848
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	90992167	91036118	32	-0.2723
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	91041758	132377534	22560	0.2899
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	132377998	134081557	1160	0.3409
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	134081701	134507529	217	0.2929
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	134508231	134915993	179	0.0642
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	134916841	161078933	16508	0.3084
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	161083953	167910128	4266	0.2722
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	167912211	168690837	600	0.3098
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	5	168703123	180934240	7034	0.3428
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	1011760	2471385	1077	-0.1855
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	2472379	2473809	4	-1.2521
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	2474503	5315481	2026	-0.1837
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	5316166	5324909	6	-2.1448
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	5392145	15215471	7141	-0.1959
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	15218950	15347111	50	-0.5617
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	15347309	17611035	1475	-0.1899
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	17613197	24433233	4825	-0.2268
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	24433614	45865532	10537	-0.1859
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	45866474	47739486	1258	-0.2282
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	47739512	47739527	2	-2.1288
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	47739878	156691966	61328	-0.232
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	6	156692292	170596889	7313	-0.2127
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	664936	2639815	549	0.531
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	2640223	5586436	1359	0.3451
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	5586690	29616610	14228	0.2712
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	29616629	29934692	158	0.3374
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	29935690	30187736	147	0.0515
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	30190288	32933525	1844	0.2806
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	32934020	33067936	59	-0.0171
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	33068231	38156953	3493	0.2842
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	38162212	38210085	23	-0.1627
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	38217251	78293641	17473	0.2788
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	78296901	97566539	10512	0.2439
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	97568793	107164949	4612	0.2875
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	107165710	127468964	10799	0.2455
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	127470711	132825560	2869	0.2866
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	132825848	133068998	139	0.0767
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	133070943	147712111	7981	0.2688
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	7	147713761	158592540	5662	0.2997
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	667625	19728914	10617	0.3129
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	19729069	19777353	58	-0.2145
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	19806499	31318509	7798	0.3268
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	31319659	62103634	15564	0.2974
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	62104376	62108666	2	-1.6574
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	62109719	75599323	7906	0.2932
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	75604341	76347488	435	0.0714
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	76350289	97658029	11898	0.2854
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	97659800	97708906	23	-0.2663
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	97709620	99699838	1032	0.2922
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	99701831	99790750	39	-0.2395
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	99801462	103239873	2110	0.323
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	103240519	103913527	339	0.0125
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	103913546	122540557	10683	0.2827
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	122542657	122747877	149	0.3801
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	122750499	139229797	11922	0.3168
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	8	139230195	144182542	1589	0.3675
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	789794	9085115	5187	-0.1991
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	9086923	9108336	21	-0.8098
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	9112698	9414834	118	-0.2343
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	9414893	9482221	75	-0.4874
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	9482268	88035965	31912	-0.2152
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	88041404	99147471	7060	0.096
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	99148936	116264797	11290	0.0708
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	116267109	116271055	8	-1.004
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	116278739	120197782	3140	0.0731
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	120198437	132477364	7191	0.1162
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	132477459	132477719	2	-1.2519
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	9	132478538	138044505	2414	0.1296
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	366509	15573303	11129	-0.1819
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	15575056	34563902	12900	-0.2099
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	34571011	34636217	45	-0.6504
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	34636616	49838032	5624	-0.1858
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	49840572	68433309	10649	-0.2241
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	68434797	129664808	39607	-0.2002
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	129667107	129667306	2	1.7975
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	10	129670761	133411599	1240	-0.1881
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	456012	21645076	13704	-0.1968
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	21645548	32140097	6577	-0.2369
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	32141676	45131274	8344	-0.2106
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	45132048	77684050	12103	-0.1732
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	77684207	82020718	3009	-0.2144
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	82021345	82021953	2	-1.6299
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	82022449	85335536	1851	-0.23
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	85339702	85865084	232	-0.9724
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	85865209	85934391	47	-0.1986
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	85937288	85937857	2	-2.0746
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	85938980	116071247	18970	-0.2224
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	116072058	120944858	3414	-0.1739
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	11	120945088	134272740	9223	-0.2068
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	780472	13953033	7530	0.3379
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	13953088	44840142	15476	0.2925
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	44841206	57800154	6813	0.3284
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	57801279	62478356	2905	0.2783
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	62478969	62836213	266	0.0871
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	62837827	71608769	5608	0.3003
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	71609349	89077626	10184	0.2647
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	89078067	103647587	9344	0.2904
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	103650463	124236825	12198	0.3232
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	124236873	125071732	528	0.3984
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	12	125073759	132605822	3465	0.3277
d4ee0ec3-7a9c-4f8d-80a8-c3a758916f01	13	18874255	33124871	8742	-0.2045
