GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
92c2b675-7566-43d6-bfff-71f0a793d95a	1	3301765	59289884	31119	0.0042
92c2b675-7566-43d6-bfff-71f0a793d95a	1	59290254	59290269	2	-2.0361
92c2b675-7566-43d6-bfff-71f0a793d95a	1	59290420	74189012	9449	0.0038
92c2b675-7566-43d6-bfff-71f0a793d95a	1	74189872	74192013	2	-1.9345
92c2b675-7566-43d6-bfff-71f0a793d95a	1	74192645	247650984	89081	0.0033
92c2b675-7566-43d6-bfff-71f0a793d95a	2	480597	40381231	23864	0.0084
92c2b675-7566-43d6-bfff-71f0a793d95a	2	40393920	40393970	2	2.0329
92c2b675-7566-43d6-bfff-71f0a793d95a	2	40394493	241537572	108269	0.0064
92c2b675-7566-43d6-bfff-71f0a793d95a	3	2170634	3569993	840	0.0174
92c2b675-7566-43d6-bfff-71f0a793d95a	3	3570914	3602164	50	-0.8929
92c2b675-7566-43d6-bfff-71f0a793d95a	3	3604443	197812401	106221	0.0042
92c2b675-7566-43d6-bfff-71f0a793d95a	4	1059384	187842528	103421	0.0038
92c2b675-7566-43d6-bfff-71f0a793d95a	5	913983	35864642	20733	-0.0006
92c2b675-7566-43d6-bfff-71f0a793d95a	5	35866116	35867078	2	-2.4782
92c2b675-7566-43d6-bfff-71f0a793d95a	5	35868742	37382706	908	0.0079
92c2b675-7566-43d6-bfff-71f0a793d95a	5	37400521	37402871	2	-1.6237
92c2b675-7566-43d6-bfff-71f0a793d95a	5	37404431	83258319	22833	0.0075
92c2b675-7566-43d6-bfff-71f0a793d95a	5	83258379	83259225	2	-2.1247
92c2b675-7566-43d6-bfff-71f0a793d95a	5	83261225	180934240	56559	0.0051
92c2b675-7566-43d6-bfff-71f0a793d95a	6	1011760	170596889	97070	0.004
92c2b675-7566-43d6-bfff-71f0a793d95a	7	664936	2153284	408	-0.0102
92c2b675-7566-43d6-bfff-71f0a793d95a	7	2154894	2162739	2	-1.7409
92c2b675-7566-43d6-bfff-71f0a793d95a	7	2163710	26461602	13726	0.0072
92c2b675-7566-43d6-bfff-71f0a793d95a	7	26463004	26464218	2	-2.0862
92c2b675-7566-43d6-bfff-71f0a793d95a	7	26468164	113246205	43259	0.0005
92c2b675-7566-43d6-bfff-71f0a793d95a	7	113256317	113257275	2	-2.3207
92c2b675-7566-43d6-bfff-71f0a793d95a	7	113257567	124476416	6233	0.0023
92c2b675-7566-43d6-bfff-71f0a793d95a	7	124477820	124477851	2	-1.7694
92c2b675-7566-43d6-bfff-71f0a793d95a	7	124478454	158592540	18272	0.0024
92c2b675-7566-43d6-bfff-71f0a793d95a	8	667625	144182542	82162	0.0039
92c2b675-7566-43d6-bfff-71f0a793d95a	9	789794	126539097	62713	0.0033
92c2b675-7566-43d6-bfff-71f0a793d95a	9	126544016	126544989	2	-1.8899
92c2b675-7566-43d6-bfff-71f0a793d95a	9	126554697	138044505	5727	0.0012
92c2b675-7566-43d6-bfff-71f0a793d95a	10	366509	100515970	60193	0.0039
92c2b675-7566-43d6-bfff-71f0a793d95a	10	100526766	100526816	2	-1.8175
92c2b675-7566-43d6-bfff-71f0a793d95a	10	100529365	133411599	21041	0.0054
92c2b675-7566-43d6-bfff-71f0a793d95a	11	456012	134272740	77507	0.0041
92c2b675-7566-43d6-bfff-71f0a793d95a	12	780472	132605822	74311	0.0042
92c2b675-7566-43d6-bfff-71f0a793d95a	13	18874255	58989123	23427	0.0032
92c2b675-7566-43d6-bfff-71f0a793d95a	13	58991178	58995109	2	-1.8614
92c2b675-7566-43d6-bfff-71f0a793d95a	13	58995530	95497790	21352	0.0024
92c2b675-7566-43d6-bfff-71f0a793d95a	13	95500055	95500374	2	-2.2264
92c2b675-7566-43d6-bfff-71f0a793d95a	13	95502342	114226675	12149	0.0013
92c2b675-7566-43d6-bfff-71f0a793d95a	14	20033191	62143495	23276	0.004
92c2b675-7566-43d6-bfff-71f0a793d95a	14	62144604	62146147	2	-2.0209
92c2b675-7566-43d6-bfff-71f0a793d95a	14	62154969	105533894	26462	0.0014
92c2b675-7566-43d6-bfff-71f0a793d95a	15	23437561	101344124	44758	0.0032
92c2b675-7566-43d6-bfff-71f0a793d95a	16	603333	69174915	28375	0.0008
92c2b675-7566-43d6-bfff-71f0a793d95a	16	69176115	69176559	2	-2.315
92c2b675-7566-43d6-bfff-71f0a793d95a	16	69176758	89317317	12796	0.0029
92c2b675-7566-43d6-bfff-71f0a793d95a	17	1074619	82959812	37259	0.0016
92c2b675-7566-43d6-bfff-71f0a793d95a	18	326691	79349796	42941	0.0005
92c2b675-7566-43d6-bfff-71f0a793d95a	19	283868	53353300	21933	-0.0004
92c2b675-7566-43d6-bfff-71f0a793d95a	19	53361177	53373619	5	-1.1303
92c2b675-7566-43d6-bfff-71f0a793d95a	19	53374281	55556917	695	0.0098
92c2b675-7566-43d6-bfff-71f0a793d95a	19	55557061	55557820	2	-1.446
92c2b675-7566-43d6-bfff-71f0a793d95a	19	55559485	58370362	1511	0.0058
92c2b675-7566-43d6-bfff-71f0a793d95a	20	472817	63588502	37533	0.0021
92c2b675-7566-43d6-bfff-71f0a793d95a	21	13974127	37383581	14970	0.0001
92c2b675-7566-43d6-bfff-71f0a793d95a	21	37384409	37387873	2	-2.1297
92c2b675-7566-43d6-bfff-71f0a793d95a	21	37389776	46262057	5604	-0.002
92c2b675-7566-43d6-bfff-71f0a793d95a	22	16934932	48940621	17073	0.0019
92c2b675-7566-43d6-bfff-71f0a793d95a	X	3236359	155677414	63923	0.0035
