GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	3301765	5185758	1328	-0.4525
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	5186566	5190437	3	-6.7175
8cb9f38a-147a-47d0-a631-a1a1cca4c118	1	5192144	247650984	127990	-0.435
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	480597	6084753	3195	-0.3989
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	6084828	6086884	2	-3.3438
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	6086951	68340557	37035	-0.3994
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	68340729	68340895	2	-3.486
8cb9f38a-147a-47d0-a631-a1a1cca4c118	2	68340927	241537572	91588	-0.3944
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	2170634	11713345	5631	-0.4481
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	11715740	11717039	3	-2.5113
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	11720790	153024048	78337	-0.4402
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	153025152	153025335	2	-3.1752
8cb9f38a-147a-47d0-a631-a1a1cca4c118	3	153026384	197812401	22912	-0.4443
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	1059384	10429107	4919	0.3472
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	10429159	137017547	70663	0.3084
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	137017561	137050960	2	3.0373
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	137054931	181238603	24662	0.3106
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	181242754	181636852	289	-0.4696
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	181641160	181895448	247	0.302
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	181896315	182146517	195	0.7797
8cb9f38a-147a-47d0-a631-a1a1cca4c118	4	182147817	187842528	2445	0.3223
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	913983	1322578	71	1.0446
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	1325652	5650799	3233	0.3058
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	5652934	6546321	715	0.7856
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	6547477	17956881	7018	0.299
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	17957233	19352904	724	0.7371
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	19355028	25767303	3187	0.2817
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	25768782	26629824	515	1.0863
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	26630346	29465488	1494	0.289
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	29465696	29567884	64	0.9405
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	29569649	29950877	224	1.3211
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	29951477	30677492	406	1.0885
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	30679508	30682238	6	0.8349
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	30685896	31042439	251	0.312
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	31045577	36503725	3289	0.7739
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	36503828	37909886	649	0.3077
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	37928099	38177471	217	1.1196
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	38178134	40066117	1320	0.7793
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	40066406	45383300	2720	1.1058
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	50828231	80105549	16563	0.7807
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	80106620	132185229	28291	0.7692
8cb9f38a-147a-47d0-a631-a1a1cca4c118	5	132185373	180934240	30086	0.7853
8cb9f38a-147a-47d0-a631-a1a1cca4c118	6	1011760	16871918	11344	0.3432
8cb9f38a-147a-47d0-a631-a1a1cca4c118	6	16872001	22397999	3788	0.3039
8cb9f38a-147a-47d0-a631-a1a1cca4c118	6	22398779	56660518	18673	0.3333
8cb9f38a-147a-47d0-a631-a1a1cca4c118	6	56662233	87691816	14794	0.2987
