GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7293f226-7455-428c-b603-9050a23c9742	1	3301765	119984772	68051	-0.2971
7293f226-7455-428c-b603-9050a23c9742	1	146716041	197788606	29289	0.0862
7293f226-7455-428c-b603-9050a23c9742	1	197788716	197799377	4	-1.3311
7293f226-7455-428c-b603-9050a23c9742	1	197800410	235000085	24359	0.0838
7293f226-7455-428c-b603-9050a23c9742	1	235002601	242518719	5440	0.0578
7293f226-7455-428c-b603-9050a23c9742	1	242527633	247650984	2469	0.0874
7293f226-7455-428c-b603-9050a23c9742	2	480597	27756124	16988	-0.2822
7293f226-7455-428c-b603-9050a23c9742	2	27759200	42097916	7982	-0.1423
7293f226-7455-428c-b603-9050a23c9742	2	42102189	42102571	2	-1.8774
7293f226-7455-428c-b603-9050a23c9742	2	42108045	42972426	509	-0.1245
7293f226-7455-428c-b603-9050a23c9742	2	42972967	42977972	5	-2.143
7293f226-7455-428c-b603-9050a23c9742	2	42978295	88826790	25223	-0.1399
7293f226-7455-428c-b603-9050a23c9742	2	88828606	119287958	12352	-0.262
7293f226-7455-428c-b603-9050a23c9742	2	119288886	119293268	5	-1.8696
7293f226-7455-428c-b603-9050a23c9742	2	119293573	186928271	37510	-0.2636
7293f226-7455-428c-b603-9050a23c9742	2	186930938	186936827	5	-2.6905
7293f226-7455-428c-b603-9050a23c9742	2	186937417	241537572	31445	-0.2624
7293f226-7455-428c-b603-9050a23c9742	3	2170634	115353841	62861	-0.2974
7293f226-7455-428c-b603-9050a23c9742	3	115358873	115695341	240	-0.5309
7293f226-7455-428c-b603-9050a23c9742	3	115697915	115780731	41	-0.7571
7293f226-7455-428c-b603-9050a23c9742	3	115782102	115971587	127	-1.6429
7293f226-7455-428c-b603-9050a23c9742	3	115972581	116107926	79	-0.696
7293f226-7455-428c-b603-9050a23c9742	3	116114328	116284435	120	-0.9655
7293f226-7455-428c-b603-9050a23c9742	3	116288823	116503703	182	-0.7012
7293f226-7455-428c-b603-9050a23c9742	3	116510764	116567006	51	-1.5614
7293f226-7455-428c-b603-9050a23c9742	3	116568022	116693351	67	-0.6246
7293f226-7455-428c-b603-9050a23c9742	3	116696625	116759422	81	-0.3818
7293f226-7455-428c-b603-9050a23c9742	3	116761771	116934642	153	-1.5394
7293f226-7455-428c-b603-9050a23c9742	3	116935054	117180786	208	-0.3771
7293f226-7455-428c-b603-9050a23c9742	3	117180939	117181002	2	-1.7607
7293f226-7455-428c-b603-9050a23c9742	3	117181015	136413440	11108	-0.2931
7293f226-7455-428c-b603-9050a23c9742	3	136413863	136413881	2	-2.2807
7293f226-7455-428c-b603-9050a23c9742	3	136423577	197812401	31700	-0.2996
7293f226-7455-428c-b603-9050a23c9742	4	1059384	5951279	2506	0.3426
7293f226-7455-428c-b603-9050a23c9742	4	5956762	10473656	2444	0.3911
7293f226-7455-428c-b603-9050a23c9742	4	10476411	54249536	24836	0.3382
7293f226-7455-428c-b603-9050a23c9742	4	54249538	54249593	5	-0.5874
7293f226-7455-428c-b603-9050a23c9742	4	54254390	176244494	67931	0.3406
7293f226-7455-428c-b603-9050a23c9742	4	176245057	176457195	125	0.1459
7293f226-7455-428c-b603-9050a23c9742	4	176461413	180604429	2329	0.3252
7293f226-7455-428c-b603-9050a23c9742	4	181157671	181184688	24	-1.5273
7293f226-7455-428c-b603-9050a23c9742	4	181186720	181216168	29	-0.3964
7293f226-7455-428c-b603-9050a23c9742	4	181223571	181442228	178	0.2267
7293f226-7455-428c-b603-9050a23c9742	4	181446916	181536650	85	-0.3798
7293f226-7455-428c-b603-9050a23c9742	4	181540630	181714136	108	0.2109
7293f226-7455-428c-b603-9050a23c9742	4	181716437	182231650	449	-0.6978
7293f226-7455-428c-b603-9050a23c9742	4	182235423	182614883	284	-0.9174
7293f226-7455-428c-b603-9050a23c9742	4	183286625	187842528	2084	0.1351
7293f226-7455-428c-b603-9050a23c9742	5	913983	1325688	73	0.3724
7293f226-7455-428c-b603-9050a23c9742	5	1340343	16054065	9902	-0.3187
7293f226-7455-428c-b603-9050a23c9742	5	16057788	16067901	11	0.5102
7293f226-7455-428c-b603-9050a23c9742	5	16068846	21393015	2722	-0.327
7293f226-7455-428c-b603-9050a23c9742	5	21581370	25419798	2030	0.3861
7293f226-7455-428c-b603-9050a23c9742	5	25419878	27159202	1022	0.3412
7293f226-7455-428c-b603-9050a23c9742	5	27161106	56863100	14162	0.3996
7293f226-7455-428c-b603-9050a23c9742	5	56865960	58401075	964	0.2954
7293f226-7455-428c-b603-9050a23c9742	5	58401752	59324091	640	0.396
7293f226-7455-428c-b603-9050a23c9742	5	59324614	59613428	243	0.5186
7293f226-7455-428c-b603-9050a23c9742	5	59616225	60614493	520	0.4194
7293f226-7455-428c-b603-9050a23c9742	5	60620939	66930913	3348	0.3064
7293f226-7455-428c-b603-9050a23c9742	5	66931368	67176424	178	0.4334
7293f226-7455-428c-b603-9050a23c9742	5	67177264	71815851	1722	0.3145
7293f226-7455-428c-b603-9050a23c9742	5	71815952	73944378	1353	0.365
7293f226-7455-428c-b603-9050a23c9742	5	73946178	82257996	4977	0.7804
7293f226-7455-428c-b603-9050a23c9742	5	82259348	98860533	8741	0.355
7293f226-7455-428c-b603-9050a23c9742	5	98861179	101200222	539	-0.3117
7293f226-7455-428c-b603-9050a23c9742	5	101206410	101251396	41	0.3685
7293f226-7455-428c-b603-9050a23c9742	5	101255000	102062145	295	-0.3123
7293f226-7455-428c-b603-9050a23c9742	5	102062266	102078675	14	0.3217
7293f226-7455-428c-b603-9050a23c9742	5	102084518	105448701	1720	-0.3053
7293f226-7455-428c-b603-9050a23c9742	5	105453745	105881803	217	0.341
7293f226-7455-428c-b603-9050a23c9742	5	105882445	110067008	2421	-0.2945
7293f226-7455-428c-b603-9050a23c9742	5	110075257	110104544	46	0.3056
7293f226-7455-428c-b603-9050a23c9742	5	110108917	110156906	14	-0.4745
7293f226-7455-428c-b603-9050a23c9742	5	110158513	110592572	204	0.3533
7293f226-7455-428c-b603-9050a23c9742	5	110595787	112924706	1654	-0.3046
7293f226-7455-428c-b603-9050a23c9742	5	112948526	113876628	610	0.3654
7293f226-7455-428c-b603-9050a23c9742	5	113879548	114562211	502	0.7928
7293f226-7455-428c-b603-9050a23c9742	5	114562504	133227039	10622	0.3551
7293f226-7455-428c-b603-9050a23c9742	5	133227063	133916083	633	0.4299
7293f226-7455-428c-b603-9050a23c9742	5	133916642	134393138	250	0.3497
7293f226-7455-428c-b603-9050a23c9742	5	134393373	134522017	65	0.7286
7293f226-7455-428c-b603-9050a23c9742	5	134528909	180934240	28578	0.3565
7293f226-7455-428c-b603-9050a23c9742	6	1011760	156915429	89823	-0.3056
7293f226-7455-428c-b603-9050a23c9742	6	156916971	157124865	141	-1.6463
7293f226-7455-428c-b603-9050a23c9742	6	157128553	170596889	7036	-0.314
7293f226-7455-428c-b603-9050a23c9742	7	664936	24402867	12745	0.3305
7293f226-7455-428c-b603-9050a23c9742	7	24403212	31693122	4693	0.3579
7293f226-7455-428c-b603-9050a23c9742	7	31695649	55613061	15692	0.3342
7293f226-7455-428c-b603-9050a23c9742	7	55613605	75808367	5203	0.2828
7293f226-7455-428c-b603-9050a23c9742	7	75809445	107137504	16106	0.3276
7293f226-7455-428c-b603-9050a23c9742	7	107139939	107660793	245	0.2151
7293f226-7455-428c-b603-9050a23c9742	7	107664183	158592540	27227	0.3395
7293f226-7455-428c-b603-9050a23c9742	8	667625	29865606	17602	0.3423
7293f226-7455-428c-b603-9050a23c9742	8	29866419	57518556	13458	0.3237
7293f226-7455-428c-b603-9050a23c9742	8	57518798	144182542	51114	0.345
7293f226-7455-428c-b603-9050a23c9742	9	789794	104526867	47370	-0.3075
7293f226-7455-428c-b603-9050a23c9742	9	104529126	104530716	2	-2.1013
7293f226-7455-428c-b603-9050a23c9742	9	104531037	138044505	21002	-0.3037
7293f226-7455-428c-b603-9050a23c9742	10	366509	15073980	10748	0.3279
7293f226-7455-428c-b603-9050a23c9742	10	15075673	33119006	12242	0.3032
7293f226-7455-428c-b603-9050a23c9742	10	33119281	36406228	2085	0.324
7293f226-7455-428c-b603-9050a23c9742	10	36412016	53992663	6908	0.2694
7293f226-7455-428c-b603-9050a23c9742	10	53993065	54133529	123	-0.4063
7293f226-7455-428c-b603-9050a23c9742	10	54136056	54313321	131	0.2314
7293f226-7455-428c-b603-9050a23c9742	10	54313343	54487038	153	0.0793
7293f226-7455-428c-b603-9050a23c9742	10	54490611	54593756	74	-0.0867
