GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7428c2c2-e2da-440f-a761-0bc91f45e628	1	3301765	14485480	6187	0.5273
7428c2c2-e2da-440f-a761-0bc91f45e628	1	14488263	31051004	8779	0.0898
7428c2c2-e2da-440f-a761-0bc91f45e628	1	31063777	31244722	90	0.5044
7428c2c2-e2da-440f-a761-0bc91f45e628	1	31249109	32011168	374	0.1091
7428c2c2-e2da-440f-a761-0bc91f45e628	1	32017315	32137624	47	0.4652
7428c2c2-e2da-440f-a761-0bc91f45e628	1	32143004	40355826	4391	0.0793
7428c2c2-e2da-440f-a761-0bc91f45e628	1	40363956	40542674	72	0.4831
7428c2c2-e2da-440f-a761-0bc91f45e628	1	40544782	42932414	1431	0.0772
7428c2c2-e2da-440f-a761-0bc91f45e628	1	42932430	43273992	234	0.5091
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43274492	43299010	23	0.0408
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43308766	43592472	169	0.4672
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43592610	43646161	38	0.0981
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43648366	43663394	11	0.5529
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43663428	43688808	17	0.1173
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43693760	43715136	9	0.5461
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43715701	43783007	34	0.1527
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43783673	43799938	19	0.4897
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43800749	43933504	76	0.0877
7428c2c2-e2da-440f-a761-0bc91f45e628	1	43943297	44009642	31	0.4559
7428c2c2-e2da-440f-a761-0bc91f45e628	1	44014053	44062778	29	0.0619
7428c2c2-e2da-440f-a761-0bc91f45e628	1	44068329	58307520	8298	0.5346
7428c2c2-e2da-440f-a761-0bc91f45e628	1	58308057	91321022	20787	0.581
7428c2c2-e2da-440f-a761-0bc91f45e628	1	91327260	91337198	23	0.0927
7428c2c2-e2da-440f-a761-0bc91f45e628	1	91337226	94886474	2083	0.5567
7428c2c2-e2da-440f-a761-0bc91f45e628	1	94886559	106674686	6601	0.5998
7428c2c2-e2da-440f-a761-0bc91f45e628	1	106675214	108971725	1402	0.5622
7428c2c2-e2da-440f-a761-0bc91f45e628	1	108972341	111475873	1486	0.5265
7428c2c2-e2da-440f-a761-0bc91f45e628	1	111476537	119984772	5363	-0.486
7428c2c2-e2da-440f-a761-0bc91f45e628	1	146716041	152288336	997	0.7916
7428c2c2-e2da-440f-a761-0bc91f45e628	1	152295561	153314040	656	0.8545
7428c2c2-e2da-440f-a761-0bc91f45e628	1	153314540	157087219	1724	0.7682
7428c2c2-e2da-440f-a761-0bc91f45e628	1	157087905	159744245	1774	0.1115
7428c2c2-e2da-440f-a761-0bc91f45e628	1	159744359	161396955	996	0.0606
7428c2c2-e2da-440f-a761-0bc91f45e628	1	161397337	185692408	16161	0.1255
7428c2c2-e2da-440f-a761-0bc91f45e628	1	185696095	197863202	7026	0.1823
7428c2c2-e2da-440f-a761-0bc91f45e628	1	197867511	200524062	1700	0.1409
7428c2c2-e2da-440f-a761-0bc91f45e628	1	200530735	208287271	4945	0.0818
7428c2c2-e2da-440f-a761-0bc91f45e628	1	208287445	213539438	3627	0.1448
7428c2c2-e2da-440f-a761-0bc91f45e628	1	213539631	219470307	4152	0.1795
7428c2c2-e2da-440f-a761-0bc91f45e628	1	219470449	221564175	1368	0.1353
7428c2c2-e2da-440f-a761-0bc91f45e628	1	221566468	236957430	9723	0.1152
7428c2c2-e2da-440f-a761-0bc91f45e628	1	236957732	243768408	4923	0.1494
7428c2c2-e2da-440f-a761-0bc91f45e628	1	243768437	243768638	4	-0.9121
7428c2c2-e2da-440f-a761-0bc91f45e628	1	243770656	247650984	1798	0.1164
7428c2c2-e2da-440f-a761-0bc91f45e628	2	480597	24425990	15524	0.1379
7428c2c2-e2da-440f-a761-0bc91f45e628	2	24426288	30762963	3422	0.1058
7428c2c2-e2da-440f-a761-0bc91f45e628	2	30763111	41942954	5924	0.1539
7428c2c2-e2da-440f-a761-0bc91f45e628	2	41943593	48682994	4326	0.1219
7428c2c2-e2da-440f-a761-0bc91f45e628	2	48683424	61416928	7040	0.1612
7428c2c2-e2da-440f-a761-0bc91f45e628	2	61419952	65184279	1848	0.1124
7428c2c2-e2da-440f-a761-0bc91f45e628	2	65188362	68210813	2160	0.1572
7428c2c2-e2da-440f-a761-0bc91f45e628	2	68211482	75880256	4299	0.1087
7428c2c2-e2da-440f-a761-0bc91f45e628	2	75881913	84869357	4832	0.1644
7428c2c2-e2da-440f-a761-0bc91f45e628	2	84869490	102724964	5091	0.1003
7428c2c2-e2da-440f-a761-0bc91f45e628	2	102725187	131547372	14548	0.135
7428c2c2-e2da-440f-a761-0bc91f45e628	2	131549017	133540276	765	0.0759
7428c2c2-e2da-440f-a761-0bc91f45e628	2	133540885	136375332	1714	0.0178
7428c2c2-e2da-440f-a761-0bc91f45e628	2	136375595	163948295	15749	0.0833
7428c2c2-e2da-440f-a761-0bc91f45e628	2	163950111	179139270	9406	0.142
7428c2c2-e2da-440f-a761-0bc91f45e628	2	179141325	194576250	7725	0.1702
7428c2c2-e2da-440f-a761-0bc91f45e628	2	194576294	208485583	7672	0.1291
7428c2c2-e2da-440f-a761-0bc91f45e628	2	208489760	216310768	4693	0.1625
7428c2c2-e2da-440f-a761-0bc91f45e628	2	216314008	220390417	2544	0.0947
7428c2c2-e2da-440f-a761-0bc91f45e628	2	220390649	230344884	6301	0.1502
7428c2c2-e2da-440f-a761-0bc91f45e628	2	230345073	233098540	1321	0.0687
7428c2c2-e2da-440f-a761-0bc91f45e628	2	233099259	238737824	3784	0.1074
7428c2c2-e2da-440f-a761-0bc91f45e628	2	238738211	241537572	1458	0.0619
7428c2c2-e2da-440f-a761-0bc91f45e628	3	2170634	2863959	201	-0.3958
7428c2c2-e2da-440f-a761-0bc91f45e628	3	2864228	9028189	3787	-0.4626
7428c2c2-e2da-440f-a761-0bc91f45e628	3	9028234	14978869	3861	-0.5228
7428c2c2-e2da-440f-a761-0bc91f45e628	3	14980306	18609166	2190	-0.479
7428c2c2-e2da-440f-a761-0bc91f45e628	3	18611113	36650040	10618	-0.4404
7428c2c2-e2da-440f-a761-0bc91f45e628	3	36650252	62647662	14121	-0.4861
7428c2c2-e2da-440f-a761-0bc91f45e628	3	62647881	62648792	2	-2.4883
7428c2c2-e2da-440f-a761-0bc91f45e628	3	62648858	71105645	6198	-0.4596
7428c2c2-e2da-440f-a761-0bc91f45e628	3	71105667	73462179	1682	-0.5316
7428c2c2-e2da-440f-a761-0bc91f45e628	3	73463670	73973804	417	-0.4818
7428c2c2-e2da-440f-a761-0bc91f45e628	3	73974973	96482331	9402	-0.4204
7428c2c2-e2da-440f-a761-0bc91f45e628	3	96482883	119224947	13013	0.1749
7428c2c2-e2da-440f-a761-0bc91f45e628	3	119225063	131611227	6834	0.1261
7428c2c2-e2da-440f-a761-0bc91f45e628	3	131611253	139041674	4241	0.1566
7428c2c2-e2da-440f-a761-0bc91f45e628	3	139043104	144588254	3076	0.5379
7428c2c2-e2da-440f-a761-0bc91f45e628	3	144588620	148773004	1898	0.6157
7428c2c2-e2da-440f-a761-0bc91f45e628	3	148773309	161561125	7201	0.5525
7428c2c2-e2da-440f-a761-0bc91f45e628	3	161565300	170515855	4204	0.5936
7428c2c2-e2da-440f-a761-0bc91f45e628	3	170524832	172794744	1268	0.4535
7428c2c2-e2da-440f-a761-0bc91f45e628	3	172803927	176553810	1683	0.5261
7428c2c2-e2da-440f-a761-0bc91f45e628	3	176557749	178784241	1133	0.4734
7428c2c2-e2da-440f-a761-0bc91f45e628	3	178785427	178785588	2	-1.2946
7428c2c2-e2da-440f-a761-0bc91f45e628	3	178785985	179827082	677	0.452
7428c2c2-e2da-440f-a761-0bc91f45e628	3	179834464	182915750	1613	0.4894
7428c2c2-e2da-440f-a761-0bc91f45e628	3	182915939	188631475	3139	0.4371
7428c2c2-e2da-440f-a761-0bc91f45e628	3	188632370	193842858	3265	0.4959
7428c2c2-e2da-440f-a761-0bc91f45e628	3	193845059	197771456	1334	0.4217
7428c2c2-e2da-440f-a761-0bc91f45e628	3	197772173	197812401	17	0.3213
7428c2c2-e2da-440f-a761-0bc91f45e628	4	1059384	11515812	5823	-0.5238
7428c2c2-e2da-440f-a761-0bc91f45e628	4	11517236	179107291	93344	-0.437
7428c2c2-e2da-440f-a761-0bc91f45e628	4	179112481	179642607	279	-1.8071
7428c2c2-e2da-440f-a761-0bc91f45e628	4	179651463	187842528	3926	-0.4667
7428c2c2-e2da-440f-a761-0bc91f45e628	5	913983	17308083	10807	0.1479
7428c2c2-e2da-440f-a761-0bc91f45e628	5	17312403	31642339	7636	0.1916
7428c2c2-e2da-440f-a761-0bc91f45e628	5	31645301	51120361	7855	0.1645
7428c2c2-e2da-440f-a761-0bc91f45e628	5	51120635	53430214	1388	0.2234
7428c2c2-e2da-440f-a761-0bc91f45e628	5	53434577	82240360	16181	0.1586
7428c2c2-e2da-440f-a761-0bc91f45e628	5	82241357	130878071	26467	0.1883
7428c2c2-e2da-440f-a761-0bc91f45e628	5	130880810	136015860	3117	0.131
7428c2c2-e2da-440f-a761-0bc91f45e628	5	136015993	136050011	22	-0.5595
7428c2c2-e2da-440f-a761-0bc91f45e628	5	136053382	143229960	3955	0.135
7428c2c2-e2da-440f-a761-0bc91f45e628	5	143230077	148323853	3215	0.1842
7428c2c2-e2da-440f-a761-0bc91f45e628	5	148324318	160716323	8241	0.1482
7428c2c2-e2da-440f-a761-0bc91f45e628	5	160716933	166321757	3434	0.195
7428c2c2-e2da-440f-a761-0bc91f45e628	5	166325910	166472736	92	-0.4198
7428c2c2-e2da-440f-a761-0bc91f45e628	5	166475674	168153170	1230	0.195
7428c2c2-e2da-440f-a761-0bc91f45e628	5	168160695	180934240	7413	0.1162
7428c2c2-e2da-440f-a761-0bc91f45e628	6	1011760	7871381	5085	0.1394
7428c2c2-e2da-440f-a761-0bc91f45e628	6	7874000	10296253	1722	0.1876
7428c2c2-e2da-440f-a761-0bc91f45e628	6	10296277	17246681	4758	0.1153
7428c2c2-e2da-440f-a761-0bc91f45e628	6	17247617	24556812	5158	0.1761
7428c2c2-e2da-440f-a761-0bc91f45e628	6	24558447	44420920	9620	0.0983
7428c2c2-e2da-440f-a761-0bc91f45e628	6	44421450	50682426	3612	0.1832
7428c2c2-e2da-440f-a761-0bc91f45e628	6	50683624	54011410	2187	0.138
7428c2c2-e2da-440f-a761-0bc91f45e628	6	54011553	61530738	1968	0.2101
7428c2c2-e2da-440f-a761-0bc91f45e628	6	61596503	87014678	14088	-0.4188
