GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c991274f-9425-4de0-b5ae-4589b40db4c5	1	3301765	6016361	1906	-0.2952
c991274f-9425-4de0-b5ae-4589b40db4c5	1	6019570	6019642	2	-2.2437
c991274f-9425-4de0-b5ae-4589b40db4c5	1	6020227	22211140	8670	-0.3003
c991274f-9425-4de0-b5ae-4589b40db4c5	1	22211156	45151640	12057	-0.2773
c991274f-9425-4de0-b5ae-4589b40db4c5	1	45153815	99681022	33499	-0.3074
c991274f-9425-4de0-b5ae-4589b40db4c5	1	99682647	99683312	2	-2.4127
c991274f-9425-4de0-b5ae-4589b40db4c5	1	99683716	161983318	18328	-0.2941
c991274f-9425-4de0-b5ae-4589b40db4c5	1	161985655	161986319	7	-1.502
c991274f-9425-4de0-b5ae-4589b40db4c5	1	161987014	163406119	1191	-0.2895
c991274f-9425-4de0-b5ae-4589b40db4c5	1	163408857	163414403	10	-2.4095
c991274f-9425-4de0-b5ae-4589b40db4c5	1	163415319	165557556	1698	-0.3356
c991274f-9425-4de0-b5ae-4589b40db4c5	1	165562102	165562490	3	-1.944
c991274f-9425-4de0-b5ae-4589b40db4c5	1	165563768	247650984	52255	-0.3042
c991274f-9425-4de0-b5ae-4589b40db4c5	2	480597	80226991	46765	-0.2781
c991274f-9425-4de0-b5ae-4589b40db4c5	2	80228126	80228802	2	-4.3003
c991274f-9425-4de0-b5ae-4589b40db4c5	2	80229013	241537572	85300	-0.2785
c991274f-9425-4de0-b5ae-4589b40db4c5	3	2170634	4851939	1589	-0.3046
c991274f-9425-4de0-b5ae-4589b40db4c5	3	4858918	4864372	11	-3.5613
c991274f-9425-4de0-b5ae-4589b40db4c5	3	4873946	4886475	7	-1.6259
c991274f-9425-4de0-b5ae-4589b40db4c5	3	4893278	41836815	22344	-0.3106
c991274f-9425-4de0-b5ae-4589b40db4c5	3	41837336	54088517	5864	-0.2797
c991274f-9425-4de0-b5ae-4589b40db4c5	3	54088646	62041960	4474	-0.3136
c991274f-9425-4de0-b5ae-4589b40db4c5	3	62041996	62043607	2	-2.5628
c991274f-9425-4de0-b5ae-4589b40db4c5	3	62044184	104431957	22377	-0.3233
c991274f-9425-4de0-b5ae-4589b40db4c5	3	104432198	104486929	22	-0.9814
c991274f-9425-4de0-b5ae-4589b40db4c5	3	104491387	117030798	7411	-0.3097
c991274f-9425-4de0-b5ae-4589b40db4c5	3	117033609	117374487	264	-0.9038
c991274f-9425-4de0-b5ae-4589b40db4c5	3	117376494	197812401	42705	-0.31
c991274f-9425-4de0-b5ae-4589b40db4c5	4	1059384	11593215	5879	0.47
c991274f-9425-4de0-b5ae-4589b40db4c5	4	11595361	109773096	55184	0.4421
c991274f-9425-4de0-b5ae-4589b40db4c5	4	109773220	112581646	1654	0.2234
c991274f-9425-4de0-b5ae-4589b40db4c5	4	112583146	139085526	14215	0.4382
c991274f-9425-4de0-b5ae-4589b40db4c5	4	139085818	139132710	88	0.243
c991274f-9425-4de0-b5ae-4589b40db4c5	4	139133128	180067180	22717	0.4419
c991274f-9425-4de0-b5ae-4589b40db4c5	4	180067641	187842528	3700	-0.334
c991274f-9425-4de0-b5ae-4589b40db4c5	5	913983	4538813	2323	0.4714
c991274f-9425-4de0-b5ae-4589b40db4c5	5	4541959	4545219	4	-0.3605
c991274f-9425-4de0-b5ae-4589b40db4c5	5	4547079	14967756	7421	0.4606
c991274f-9425-4de0-b5ae-4589b40db4c5	5	14968038	32487202	9247	0.4327
c991274f-9425-4de0-b5ae-4589b40db4c5	5	32487931	133632492	52878	0.4576
c991274f-9425-4de0-b5ae-4589b40db4c5	5	133635161	133647007	20	-0.3162
c991274f-9425-4de0-b5ae-4589b40db4c5	5	133648656	142363042	4840	0.4495
c991274f-9425-4de0-b5ae-4589b40db4c5	5	142364947	143847127	1118	0.5077
c991274f-9425-4de0-b5ae-4589b40db4c5	5	143851225	165406612	13853	0.4528
c991274f-9425-4de0-b5ae-4589b40db4c5	5	165409250	165419454	4	-0.8455
c991274f-9425-4de0-b5ae-4589b40db4c5	5	165419772	180934240	9351	0.4613
c991274f-9425-4de0-b5ae-4589b40db4c5	6	1011760	17276290	11578	-0.293
c991274f-9425-4de0-b5ae-4589b40db4c5	6	17284151	25742301	5762	-0.33
c991274f-9425-4de0-b5ae-4589b40db4c5	6	25742471	26328933	358	-0.264
c991274f-9425-4de0-b5ae-4589b40db4c5	6	26329098	26340557	6	-2.1145
c991274f-9425-4de0-b5ae-4589b40db4c5	6	26354552	41673751	7166	-0.2842
c991274f-9425-4de0-b5ae-4589b40db4c5	6	41675648	41790845	77	0.4675
c991274f-9425-4de0-b5ae-4589b40db4c5	6	41793076	148565526	59114	-0.3184
c991274f-9425-4de0-b5ae-4589b40db4c5	6	148566506	148566527	2	-2.1508
c991274f-9425-4de0-b5ae-4589b40db4c5	6	148571473	157050143	5905	-0.3171
c991274f-9425-4de0-b5ae-4589b40db4c5	6	157056122	157091621	28	-0.9983
c991274f-9425-4de0-b5ae-4589b40db4c5	6	157092754	170596889	7054	-0.3176
c991274f-9425-4de0-b5ae-4589b40db4c5	7	664936	21133633	10306	0.4465
c991274f-9425-4de0-b5ae-4589b40db4c5	7	21134209	21141371	3	-0.9288
c991274f-9425-4de0-b5ae-4589b40db4c5	7	21141668	31139299	6696	0.4569
c991274f-9425-4de0-b5ae-4589b40db4c5	7	31139860	31237464	69	0.1569
c991274f-9425-4de0-b5ae-4589b40db4c5	7	31241955	36145241	3227	0.4417
c991274f-9425-4de0-b5ae-4589b40db4c5	7	36145245	39358233	2312	0.4868
c991274f-9425-4de0-b5ae-4589b40db4c5	7	39358799	55576701	10498	0.4371
c991274f-9425-4de0-b5ae-4589b40db4c5	7	55576736	68184860	1912	0.3765
c991274f-9425-4de0-b5ae-4589b40db4c5	7	68186333	68189093	2	-1.0116
c991274f-9425-4de0-b5ae-4589b40db4c5	7	68189285	75809445	3313	0.388
c991274f-9425-4de0-b5ae-4589b40db4c5	7	75809462	75810378	2	1.625
c991274f-9425-4de0-b5ae-4589b40db4c5	7	75812444	77130464	236	0.3869
c991274f-9425-4de0-b5ae-4589b40db4c5	7	77135653	94720799	9541	0.4529
c991274f-9425-4de0-b5ae-4589b40db4c5	7	94721319	103309048	3857	0.4149
c991274f-9425-4de0-b5ae-4589b40db4c5	7	103310225	138484628	19657	0.4514
c991274f-9425-4de0-b5ae-4589b40db4c5	7	138485768	138524902	21	-0.4629
c991274f-9425-4de0-b5ae-4589b40db4c5	7	138559193	158592540	10268	0.4504
c991274f-9425-4de0-b5ae-4589b40db4c5	8	667625	18573046	9693	-0.3298
c991274f-9425-4de0-b5ae-4589b40db4c5	8	18573108	18575883	2	-2
c991274f-9425-4de0-b5ae-4589b40db4c5	8	18576110	57165988	21110	-0.3272
c991274f-9425-4de0-b5ae-4589b40db4c5	8	57168249	57168524	2	-1.94
c991274f-9425-4de0-b5ae-4589b40db4c5	8	57169026	65290136	4980	-0.3183
c991274f-9425-4de0-b5ae-4589b40db4c5	8	65290237	144182542	46371	0.4376
c991274f-9425-4de0-b5ae-4589b40db4c5	9	789794	9740839	5563	0.4606
c991274f-9425-4de0-b5ae-4589b40db4c5	9	9740949	15340688	2960	0.4327
c991274f-9425-4de0-b5ae-4589b40db4c5	9	15342175	15344948	2	-0.7527
c991274f-9425-4de0-b5ae-4589b40db4c5	9	15347520	18931063	2931	0.4162
c991274f-9425-4de0-b5ae-4589b40db4c5	9	18931239	19487724	416	0.3464
c991274f-9425-4de0-b5ae-4589b40db4c5	9	19488203	111764854	40952	0.4333
c991274f-9425-4de0-b5ae-4589b40db4c5	9	111765261	111769413	2	-1.6337
c991274f-9425-4de0-b5ae-4589b40db4c5	9	111779326	122511745	7485	0.4404
c991274f-9425-4de0-b5ae-4589b40db4c5	9	122513901	127465489	2966	0.472
c991274f-9425-4de0-b5ae-4589b40db4c5	9	127466657	131456293	2068	0.4284
c991274f-9425-4de0-b5ae-4589b40db4c5	9	131457213	138044505	3113	0.4733
c991274f-9425-4de0-b5ae-4589b40db4c5	10	366509	17480443	12575	0.148
c991274f-9425-4de0-b5ae-4589b40db4c5	10	17480684	17480700	2	-1.638
c991274f-9425-4de0-b5ae-4589b40db4c5	10	17481042	23955132	4247	0.1197
c991274f-9425-4de0-b5ae-4589b40db4c5	10	23962603	23995835	43	-1.1186
c991274f-9425-4de0-b5ae-4589b40db4c5	10	24011792	36257477	8076	0.1252
c991274f-9425-4de0-b5ae-4589b40db4c5	10	36258245	43602317	2003	0.0834
c991274f-9425-4de0-b5ae-4589b40db4c5	10	43602322	51079913	2973	0.1563
c991274f-9425-4de0-b5ae-4589b40db4c5	10	51079934	51390492	240	-0.2832
c991274f-9425-4de0-b5ae-4589b40db4c5	10	51396323	133411599	51094	0.1336
c991274f-9425-4de0-b5ae-4589b40db4c5	11	456012	18280464	11068	-0.2978
c991274f-9425-4de0-b5ae-4589b40db4c5	11	18283786	18284320	2	1.1807
c991274f-9425-4de0-b5ae-4589b40db4c5	11	18284725	19578877	937	-0.2974
c991274f-9425-4de0-b5ae-4589b40db4c5	11	19579163	33028268	8892	-0.33
c991274f-9425-4de0-b5ae-4589b40db4c5	11	33028312	36314713	2336	-0.3007
c991274f-9425-4de0-b5ae-4589b40db4c5	11	36314970	36315083	2	-1.9851
c991274f-9425-4de0-b5ae-4589b40db4c5	11	36318123	58260823	8561	-0.3228
c991274f-9425-4de0-b5ae-4589b40db4c5	11	58265590	77157383	8684	-0.2897
c991274f-9425-4de0-b5ae-4589b40db4c5	11	77158728	134272740	37014	-0.3134
c991274f-9425-4de0-b5ae-4589b40db4c5	12	780472	13898303	7480	0.4651
c991274f-9425-4de0-b5ae-4589b40db4c5	12	13898591	123844942	62575	0.4377
c991274f-9425-4de0-b5ae-4589b40db4c5	12	123845893	124836915	653	0.4769
c991274f-9425-4de0-b5ae-4589b40db4c5	12	124838694	132605822	3603	-0.3305
c991274f-9425-4de0-b5ae-4589b40db4c5	13	18874255	98047566	46191	-0.3145
c991274f-9425-4de0-b5ae-4589b40db4c5	13	98047963	98048363	3	-1.8732
c991274f-9425-4de0-b5ae-4589b40db4c5	13	98051348	114226675	10738	-0.3161
c991274f-9425-4de0-b5ae-4589b40db4c5	14	20033191	63890970	24273	-0.3035
c991274f-9425-4de0-b5ae-4589b40db4c5	14	63891604	76296733	7411	-0.2729
c991274f-9425-4de0-b5ae-4589b40db4c5	14	76301926	89646804	8546	-0.32
c991274f-9425-4de0-b5ae-4589b40db4c5	14	89649077	105137078	9395	-0.2809
c991274f-9425-4de0-b5ae-4589b40db4c5	14	105167207	105533894	96	-0.3552
c991274f-9425-4de0-b5ae-4589b40db4c5	15	23437561	28247049	2724	-0.3435
c991274f-9425-4de0-b5ae-4589b40db4c5	15	28250353	72037752	25190	-0.2988
c991274f-9425-4de0-b5ae-4589b40db4c5	15	72039917	72044118	3	-3.7278
c991274f-9425-4de0-b5ae-4589b40db4c5	15	72049039	91470672	10693	-0.2995
c991274f-9425-4de0-b5ae-4589b40db4c5	15	91474401	91474765	2	-2.0484
c991274f-9425-4de0-b5ae-4589b40db4c5	15	91480507	101344124	6140	-0.303
c991274f-9425-4de0-b5ae-4589b40db4c5	16	603333	2128574	403	0.4411
c991274f-9425-4de0-b5ae-4589b40db4c5	16	2182793	2200206	7	1.0353
c991274f-9425-4de0-b5ae-4589b40db4c5	16	2204007	5275094	1359	0.4436
c991274f-9425-4de0-b5ae-4589b40db4c5	16	5277182	6054117	620	-0.3232
c991274f-9425-4de0-b5ae-4589b40db4c5	16	6089139	6152205	88	0.4269
c991274f-9425-4de0-b5ae-4589b40db4c5	16	6155208	6446332	149	-0.3343
c991274f-9425-4de0-b5ae-4589b40db4c5	16	6452764	61067492	20905	0.4366
c991274f-9425-4de0-b5ae-4589b40db4c5	16	61067571	61075312	11	-0.3687
c991274f-9425-4de0-b5ae-4589b40db4c5	16	61078923	78966462	10631	0.431
c991274f-9425-4de0-b5ae-4589b40db4c5	16	78968534	89317317	7012	0.4699
c991274f-9425-4de0-b5ae-4589b40db4c5	17	1074619	9425792	4191	-0.2969
c991274f-9425-4de0-b5ae-4589b40db4c5	17	9427690	13997977	3201	-0.3378
c991274f-9425-4de0-b5ae-4589b40db4c5	17	14004080	31130728	4098	-0.2899
c991274f-9425-4de0-b5ae-4589b40db4c5	17	31139704	31344369	93	-1.7949
c991274f-9425-4de0-b5ae-4589b40db4c5	17	31355444	31596041	112	-0.313
c991274f-9425-4de0-b5ae-4589b40db4c5	17	31596261	31599614	3	-1.5424
c991274f-9425-4de0-b5ae-4589b40db4c5	17	31602988	65385194	16421	-0.2913
c991274f-9425-4de0-b5ae-4589b40db4c5	17	65389443	73513774	5439	-0.3267
c991274f-9425-4de0-b5ae-4589b40db4c5	17	73514371	82959812	3676	-0.2945
c991274f-9425-4de0-b5ae-4589b40db4c5	18	326691	12989723	7453	-0.3136
c991274f-9425-4de0-b5ae-4589b40db4c5	18	12991394	12992262	2	-1.8862
c991274f-9425-4de0-b5ae-4589b40db4c5	18	12992308	79349796	35477	-0.3085
c991274f-9425-4de0-b5ae-4589b40db4c5	19	283868	1416216	219	0.4209
c991274f-9425-4de0-b5ae-4589b40db4c5	19	1423673	1439043	7	-0.4035
c991274f-9425-4de0-b5ae-4589b40db4c5	19	1441984	34881503	13815	0.4251
c991274f-9425-4de0-b5ae-4589b40db4c5	19	34881707	34886199	3	1.6394
c991274f-9425-4de0-b5ae-4589b40db4c5	19	34886568	37263518	1220	0.4151
c991274f-9425-4de0-b5ae-4589b40db4c5	19	37264829	37305409	6	-0.4119
c991274f-9425-4de0-b5ae-4589b40db4c5	19	37306430	47898254	4532	0.4375
c991274f-9425-4de0-b5ae-4589b40db4c5	19	47959373	47960688	3	-0.729
c991274f-9425-4de0-b5ae-4589b40db4c5	19	47961014	58370362	4347	0.445
c991274f-9425-4de0-b5ae-4589b40db4c5	20	472817	36998124	19625	0.4484
c991274f-9425-4de0-b5ae-4589b40db4c5	20	37003756	37087577	119	0.2603
c991274f-9425-4de0-b5ae-4589b40db4c5	20	37088082	56991302	13423	0.4568
c991274f-9425-4de0-b5ae-4589b40db4c5	20	56991724	56991746	2	1.6511
c991274f-9425-4de0-b5ae-4589b40db4c5	20	56993632	63588502	4379	0.4751
c991274f-9425-4de0-b5ae-4589b40db4c5	21	13974127	46262057	20570	-0.3106
c991274f-9425-4de0-b5ae-4589b40db4c5	22	16934932	28853578	4386	-0.264
c991274f-9425-4de0-b5ae-4589b40db4c5	22	28854458	28902235	35	-1.8843
c991274f-9425-4de0-b5ae-4589b40db4c5	22	28902764	38148291	5968	-0.311
c991274f-9425-4de0-b5ae-4589b40db4c5	22	38150693	38212355	37	0.4366
c991274f-9425-4de0-b5ae-4589b40db4c5	22	38213824	48940621	6646	-0.3003
c991274f-9425-4de0-b5ae-4589b40db4c5	X	3236359	3268451	25	-0.146
c991274f-9425-4de0-b5ae-4589b40db4c5	X	3268611	54210180	22352	0.0164
