GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f2437da7-9419-483b-9357-1f1125b639c3	1	3301765	7471278	2687	-0.7517
f2437da7-9419-483b-9357-1f1125b639c3	1	7476127	11405422	1879	-1.7678
f2437da7-9419-483b-9357-1f1125b639c3	1	11407656	15917920	2448	-0.1932
f2437da7-9419-483b-9357-1f1125b639c3	1	15924050	16433121	200	0.1404
f2437da7-9419-483b-9357-1f1125b639c3	1	16434707	17010382	26	0.63
f2437da7-9419-483b-9357-1f1125b639c3	1	17014383	19064614	1473	-0.1888
f2437da7-9419-483b-9357-1f1125b639c3	1	19064638	19720693	422	0.1788
f2437da7-9419-483b-9357-1f1125b639c3	1	19721939	19726879	6	-0.7665
f2437da7-9419-483b-9357-1f1125b639c3	1	19730085	21036234	835	0.1913
f2437da7-9419-483b-9357-1f1125b639c3	1	21039321	21163209	58	0.476
f2437da7-9419-483b-9357-1f1125b639c3	1	21164911	21501899	117	0.6841
f2437da7-9419-483b-9357-1f1125b639c3	1	21503843	21671913	106	0.4309
f2437da7-9419-483b-9357-1f1125b639c3	1	21672345	21971792	163	0.727
f2437da7-9419-483b-9357-1f1125b639c3	1	22108654	22309739	137	0.2069
f2437da7-9419-483b-9357-1f1125b639c3	1	22310166	22343478	16	0.5379
f2437da7-9419-483b-9357-1f1125b639c3	1	22345985	22372008	18	0.9406
f2437da7-9419-483b-9357-1f1125b639c3	1	22374633	22381072	7	0.3197
f2437da7-9419-483b-9357-1f1125b639c3	1	22382304	23313056	561	-0.2279
f2437da7-9419-483b-9357-1f1125b639c3	1	23318962	23512761	128	0.1219
f2437da7-9419-483b-9357-1f1125b639c3	1	23514187	23547245	15	0.7809
f2437da7-9419-483b-9357-1f1125b639c3	1	23555523	23654464	50	0.2454
f2437da7-9419-483b-9357-1f1125b639c3	1	23658819	23790682	58	-0.2506
f2437da7-9419-483b-9357-1f1125b639c3	1	23805815	23964300	43	0.1534
f2437da7-9419-483b-9357-1f1125b639c3	1	23969594	24048784	7	-0.3357
f2437da7-9419-483b-9357-1f1125b639c3	1	24051536	27072293	1349	-0.7738
f2437da7-9419-483b-9357-1f1125b639c3	1	27074227	27481107	148	-0.1708
f2437da7-9419-483b-9357-1f1125b639c3	1	27518482	27890551	162	0.1842
f2437da7-9419-483b-9357-1f1125b639c3	1	27893907	28064971	93	-0.1907
f2437da7-9419-483b-9357-1f1125b639c3	1	28098329	30667100	1473	-0.7011
f2437da7-9419-483b-9357-1f1125b639c3	1	30789158	30794488	5	-0.1311
f2437da7-9419-483b-9357-1f1125b639c3	1	30796057	30938231	94	0.6272
f2437da7-9419-483b-9357-1f1125b639c3	1	30940072	31148580	84	-0.1512
f2437da7-9419-483b-9357-1f1125b639c3	1	31150820	31152499	2	-1.7789
f2437da7-9419-483b-9357-1f1125b639c3	1	31152542	33004159	781	-0.2371
f2437da7-9419-483b-9357-1f1125b639c3	1	33009862	38825472	3345	-0.165
f2437da7-9419-483b-9357-1f1125b639c3	1	38825577	41185258	1115	-0.2202
f2437da7-9419-483b-9357-1f1125b639c3	1	41188667	41303760	57	0.1777
f2437da7-9419-483b-9357-1f1125b639c3	1	41304640	41331426	15	0.5845
f2437da7-9419-483b-9357-1f1125b639c3	1	41331911	41429460	72	0.1861
f2437da7-9419-483b-9357-1f1125b639c3	1	41429826	41572255	98	0.5016
f2437da7-9419-483b-9357-1f1125b639c3	1	41572784	48932451	4159	-0.1991
f2437da7-9419-483b-9357-1f1125b639c3	1	48932528	51158241	881	-0.1302
f2437da7-9419-483b-9357-1f1125b639c3	1	51160324	51285237	50	-0.2739
f2437da7-9419-483b-9357-1f1125b639c3	1	51285351	51815812	209	0.1411
f2437da7-9419-483b-9357-1f1125b639c3	1	51831387	54203377	1362	-0.1927
f2437da7-9419-483b-9357-1f1125b639c3	1	54205815	54957108	446	-0.2715
f2437da7-9419-483b-9357-1f1125b639c3	1	54957255	61955826	5203	-0.1667
f2437da7-9419-483b-9357-1f1125b639c3	1	61955916	61971195	31	0.175
f2437da7-9419-483b-9357-1f1125b639c3	1	61971271	64981376	2200	-0.1711
f2437da7-9419-483b-9357-1f1125b639c3	1	64986988	65387966	244	0.2095
f2437da7-9419-483b-9357-1f1125b639c3	1	65491255	68517995	2222	-0.1749
f2437da7-9419-483b-9357-1f1125b639c3	1	68519327	80193370	6427	-0.138
f2437da7-9419-483b-9357-1f1125b639c3	1	80194008	85302382	3251	-0.1913
f2437da7-9419-483b-9357-1f1125b639c3	1	85303177	85449451	98	-0.8728
f2437da7-9419-483b-9357-1f1125b639c3	1	85449500	89757514	2741	-0.6931
f2437da7-9419-483b-9357-1f1125b639c3	1	89757644	89873488	82	-0.8962
f2437da7-9419-483b-9357-1f1125b639c3	1	89873841	90078859	108	-0.2151
f2437da7-9419-483b-9357-1f1125b639c3	1	90093659	95102802	3000	-0.7298
f2437da7-9419-483b-9357-1f1125b639c3	1	95106813	108124524	7464	-0.6797
f2437da7-9419-483b-9357-1f1125b639c3	1	108124546	108125504	2	-2.4311
f2437da7-9419-483b-9357-1f1125b639c3	1	108126955	108565809	102	-0.5877
f2437da7-9419-483b-9357-1f1125b639c3	1	108566200	119115201	6454	-0.7463
f2437da7-9419-483b-9357-1f1125b639c3	1	119115315	119373360	157	-0.2619
f2437da7-9419-483b-9357-1f1125b639c3	1	119376582	119390629	10	0.7926
f2437da7-9419-483b-9357-1f1125b639c3	1	119391420	119405091	8	0.3119
f2437da7-9419-483b-9357-1f1125b639c3	1	119411581	155050389	2837	-0.1989
f2437da7-9419-483b-9357-1f1125b639c3	1	155051833	155348517	123	0.3694
f2437da7-9419-483b-9357-1f1125b639c3	1	155349209	157220638	857	0.083
f2437da7-9419-483b-9357-1f1125b639c3	1	157224788	171712750	10180	0.1524
f2437da7-9419-483b-9357-1f1125b639c3	1	171713955	171883303	133	0.6117
f2437da7-9419-483b-9357-1f1125b639c3	1	171886179	177094559	2828	0.1454
f2437da7-9419-483b-9357-1f1125b639c3	1	177101899	177207424	85	0.436
f2437da7-9419-483b-9357-1f1125b639c3	1	177210822	177225484	11	0.8081
f2437da7-9419-483b-9357-1f1125b639c3	1	177225914	177234182	10	0.483
f2437da7-9419-483b-9357-1f1125b639c3	1	177234717	181149098	2498	0.1318
f2437da7-9419-483b-9357-1f1125b639c3	1	181151938	183502160	1662	0.1764
f2437da7-9419-483b-9357-1f1125b639c3	1	183502599	185604748	1336	0.1199
f2437da7-9419-483b-9357-1f1125b639c3	1	185605527	193068707	4325	0.1761
f2437da7-9419-483b-9357-1f1125b639c3	1	193071023	193314826	259	0.044
f2437da7-9419-483b-9357-1f1125b639c3	1	193318012	197785837	2422	0.1559
f2437da7-9419-483b-9357-1f1125b639c3	1	197786089	197786965	2	-1.1446
f2437da7-9419-483b-9357-1f1125b639c3	1	197787093	200351715	1626	0.1945
f2437da7-9419-483b-9357-1f1125b639c3	1	200352496	203515463	2020	0.1162
f2437da7-9419-483b-9357-1f1125b639c3	1	203516014	203748252	136	0.4046
f2437da7-9419-483b-9357-1f1125b639c3	1	203750748	204461235	468	0.1243
f2437da7-9419-483b-9357-1f1125b639c3	1	204465343	204591549	118	0.5371
f2437da7-9419-483b-9357-1f1125b639c3	1	204591862	215680493	7397	0.1406
f2437da7-9419-483b-9357-1f1125b639c3	1	215680494	221519225	3991	0.1756
f2437da7-9419-483b-9357-1f1125b639c3	1	221521175	234948319	8514	0.1443
f2437da7-9419-483b-9357-1f1125b639c3	1	234951493	235313418	123	0.394
f2437da7-9419-483b-9357-1f1125b639c3	1	235315493	241879466	4929	0.1741
f2437da7-9419-483b-9357-1f1125b639c3	1	241879584	242802393	632	0.0807
f2437da7-9419-483b-9357-1f1125b639c3	1	242806440	247650984	2235	0.1743
f2437da7-9419-483b-9357-1f1125b639c3	2	480597	7652580	4327	0.2352
f2437da7-9419-483b-9357-1f1125b639c3	2	7652808	12695240	3564	0.175
f2437da7-9419-483b-9357-1f1125b639c3	2	12695656	23877223	7340	0.2238
f2437da7-9419-483b-9357-1f1125b639c3	2	23879047	26440384	1137	0.1548
f2437da7-9419-483b-9357-1f1125b639c3	2	26440863	26563960	82	0.2127
f2437da7-9419-483b-9357-1f1125b639c3	2	26567108	26644161	47	0.4681
f2437da7-9419-483b-9357-1f1125b639c3	2	26647172	26858001	82	0.0545
f2437da7-9419-483b-9357-1f1125b639c3	2	26859691	27318048	213	0.4664
f2437da7-9419-483b-9357-1f1125b639c3	2	27320715	28361614	478	0.1347
f2437da7-9419-483b-9357-1f1125b639c3	2	28362289	28512850	87	0.4575
f2437da7-9419-483b-9357-1f1125b639c3	2	28514746	36800676	4656	0.2209
